C00152	C00152	[C@@H](N)(C(=O)O)CC(=O)N
C00438	C00438	OC(=O)[C@@H](NC(=O)N)CC(=O)O
C02512	C02512	[C@@H](N)(C(=O)O)CC#N
C01042	C01042	OC(=O)C[C@H](NC(=O)C)C(=O)O
C00099	C00099	C(CN)C(=O)O
C00051	C00051	OC(=O)[C@@H](N)CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O
C01419	C01419	SC[C@H](N)C(=O)NCC(=O)O
C00669	C00669	C(=O)(O)[C@@H](N)CCC(=O)N[C@@H](CS)C(=O)O
C03174	C03174	OC(=O)CNC(=O)[C@H](CSC(=O)CCC(=O)O)NC(=O)CC[C@H](N)C(=O)O
C00446	C00446	[C@@H]1(OP(=O)(O)O)[C@H](O)[C@H]([C@@H](O)[C@@H](CO)O1)O
C00243	C00243	[C@@H]1([C@H](O)[C@H](C(O)O[C@@H]1CO)O)O[C@H]1[C@H](O)[C@H]([C@@H](O)[C@@H](CO)O1)O |a:0,1,3,7,12,13,15,16,18,w:4|
C04739	C04739	[C@@H]1([C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2NC(=O)C)COP(=O)(O)O[C@@H]2[C@H](O)[C@H]([C@@H](O)[C@@H](CO)O2)O)O1)O)N1C=CC(=O)NC1=O
C03733	C03733	[C@@H]1([C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]2[C@H](O)[C@H]([C@]([H])([C@H](O)CO)O2)O)O1)O)N1C(=O)NC(C=C1)=O
C00053	C00053	N1(C=NC2C(N)=NC=NC1=2)[C@@H]1O[C@@H]([C@@H](OP(=O)(O)O)[C@H]1O)COP(=O)(O)OS(=O)(=O)O
C00059	C00059	S(O)(O)(=O)=O
C00224	C00224	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OS(=O)(=O)O)O1)O
C00055	C00055	[C@H]1(COP(O)(=O)O)O[C@@H](N2C=CC(N)=NC2=O)[C@H](O)[C@@H]1O
C00380	C00380	N1C(=O)NC=CC=1N
C00475	C00475	[C@@H]1([C@H](O)[C@@H]([C@@H](CO)O1)O)N1C=CC(N)=NC1=O
C00112	C00112	[C@H]1(N2C=CC(N)=NC2=O)[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O
C00063	C00063	[C@H]1(N2C=CC(N)=NC2=O)[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O
C02405	C02405	O(C(=O)[H])P(O)(=O)O
C00798	C00798	[H]C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(OP(=O)(O)OC[C@H]1O[C@@H](N2C=NC3C(N)=NC=NC=32)[C@H](O)[C@@H]1OP(=O)(O)O)(O)=O
C00488	C00488	C([H])(=O)N
C01045	C01045	OC(=O)CC[C@H](NC(=O)[H])C(=O)O
C01044	C01044	OC(=O)C[C@H](NC=O)C(=O)O
C01031	C01031	[C@@H](CSC([H])=O)(NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O
C02703	C02703	S(=O)(=O)(O)OC[C@H](N)C(=O)O
C00094	C00094	S(=O)(O)O
C02827	C02827	S(=O)(=O)(O)OC[C@H]1OC([C@H](O)[C@@H](O)[C@@H]1O)O |a:6,9,11,13,w:8|
C00951	C00951	[C@@]12([H])CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3C=CC(O)=CC=3CC[C@@]21[H]
C08357	C08357	[C@@]12([H])CCC3C=C(C=CC=3[C@@]1([H])CC[C@]1(C)[C@H](CC[C@@]21[H])O)OS(=O)(=O)O
C05299	C05299	[C@@]12([H])CCC(=O)[C@@]1(C)CC[C@]1([H])C3C=C(OC)C(O)=CC=3CC[C@@]21[H]
C08358	C08358	[C@]12([H])CCC(=O)[C@@]1(C)CC[C@@]1([H])C3C=C(C(OS(=O)(=O)O)=CC=3CC[C@@]21[H])OC
C05302	C05302	[C@]12([H])CC[C@]3(C)[C@H](CC[C@@]3([H])[C@]1([H])CCC1C=C(C(OC)=CC2=1)O)O
C08359	C08359	[C@@]12([H])CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3C=C(C(OS(=O)(=O)O)=CC=3CC[C@@]21[H])OC
C00255	C00255	C12N=C3C(=O)NC(=O)N=C3N(C[C@H](O)[C@@H]([C@@H](CO)O)O)C=1C=C(C)C(C)=C2
C00062	C00062	C([C@H](N)C(=O)O)CCNC(=N)N
C00077	C00077	[C@H](N)(CCCN)C(=O)O
C00086	C00086	C(=O)(N)N
C00327	C00327	C([C@H](N)C(=O)O)CCNC(=O)N
C05945	C05945	C(=N)(NP(=O)(O)O)NCCC[C@H](N)C(=O)O
C05933	C05933	C(CCN/C(=N\O)/N)[C@H](N)C(=O)O
C03078	C03078	NC(=N)NCCCC(=O)N
C04137	C04137	OC(=O)[C@@H](NC(C)C(=O)O)CCCNC(=N)N
C01682	C01682	NC(=N)NCCC[C@H](N[C@@H](C(=O)O)CCC(=O)O)C(=O)O
C00581	C00581	C(=O)(O)CNC(N)=N
C00179	C00179	C(CCCN)NC(=N)N
C00792	C00792	C([C@@H](N)C(=O)O)CCNC(=N)N
C00941	C00941	[C@H]1(O[C@H]2[C@@H](OP(OC2)(=O)O)[C@H]1O)N1C=CC(N)=NC1=O
C00819	C00819	[C@H](N)(C(=O)O)CCC(=O)N
C00168	C00168	C(=O)(CO)C(=O)O
C01005	C01005	OC(=O)[C@@H](N)COP(O)(=O)O
C00979	C00979	[C@@H](N)(C(=O)O)COC(=O)C
C02218	C02218	OC(=O)C(=C)N
C00132	C00132	CO
C00067	C00067	C=O
C02271	C02271	C(Cl)Cl
C00218	C00218	CN
C01046	C01046	OC(=O)CC[C@H](NC)C(=O)O
C02728	C02728	CNCCCC[C@H](N)C(=O)O
