P(=O)(O)(O)OP(=O)(O)O.O([H])[H]	R00004	P(=O)(O)(O)O
C1(/C=C/C(=O)O[C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O2)C=C(OC)C(O)=C(OC)C=1.C1(=[O+]C2=C(C(O)=CC(O)=C2)C=C1O[C@H]1[C@H](O)[C@H]([C@H](O)[C@@H](CO)O1)O)C1C=CC(O)=C(O)C=1	R10261	C1(/C=C/C(=O)O)C=C(OC)C(O)=C(OC)C=1.C12C=C(C(C3C=CC(O)=C(O)C=3)=[O+]C=1C=C(C=C2O[C@H]1[C@H](O)[C@H]([C@H](O)[C@@H](CO)O1)O)O)O[C@H]1[C@H](O)[C@H]([C@H](O)[C@@H](CO)O1)O
[C@@H]1([C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2NC(=O)C)CO)O1)O)N1C=CC(=O)NC1=O	R10266	O([H])[H].[C@@H]1([C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@H]2O[C@@H](C(=O)[C@H](O)[C@H]2NC(=O)C)C)O1)O)N1C=CC(=O)NC1=O
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3[C@@H](O)CCC(C(=O)N)=C3)O2)O)O1)O	R10267	P(=O)(O)(O)O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)O)O1)O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](OP(=O)(O)O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3[C@@H](O)CCC(C(=O)N)=C3)O2)O)O1)O	R10268	P(=O)(O)(O)O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)O)O1)O.[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2
C1C[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H](CC[C@@H](C)C5=CCC(C)=CC5)[C@@](O)(C)CC[C@@]4([H])[C@]3(C)CC[C@@]2([H])C(C)(C)C1	R10269	O([H])[H].C(C/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/C)/C(/C)=C/CC[C@@H](C)C1=CCC(C)=CC1
O([H])[H].O([C@H](CC[C@H](N)C(=O)O)CN)P(=O)(O)O	R10270	P(=O)(O)(O)O.N([H])([H])[H].[C@@H](N)(C(=O)O)CCCC=O
C(/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/C)OP(=O)(O)OP(=O)(O)O	R10271	P(=O)(O)(O)OP(=O)(O)O.[C@@]12([H])CC(C)(C)C[C@]1([H])[C@@]1(C)CCC1=C(C)C2
C(/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/C)OP(=O)(O)OP(=O)(O)O	R10272	P(=O)(O)(O)OP(=O)(O)O.[C@]123CCC[C@@]1(C)C=C(C)[C@]2(C)CC[C@H]3C
C(/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/C)OP(=O)(O)OP(=O)(O)O	R10273	P(=O)(O)(O)OP(=O)(O)O.[C@]12([H])C(C[C@@]1([H])C(=C)CCC=C(C)CC2)(C)C |c:11|
O([H])[H].C(/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/C)OP(=O)(O)OP(=O)(O)O	R10274	P(=O)(O)(O)OP(=O)(O)O.C/C(/C)=C/CC[C@@](O)(C)[C@]1([H])CCC(C)=CC1
C(/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/C)OP(=O)(O)OP(=O)(O)O	R10275	P(=O)(O)(O)OP(=O)(O)O.[C@@H]1(/C=C(/C)\C)CC[C@H]([C@]2(CCC(C)=C12)[H])C
[C@]12(C)CCCC(C)(C)[C@]1([H])CC[C@](O)(C)[C@@H]2CC/C(/C)=C/COP(=O)(O)OP(=O)(O)O	R10276	P(=O)(O)(O)OP(=O)(O)O.[C@]12(C)CCCC(C)(C)[C@]1([H])CC[C@](O)(C)[C@@H]2C/C=C(/C)\C=C
[C@@H](N)(C(=O)O)CCCCN	R10277	N([H])([H])[H].[C@H]1(C(=O)O)NCCCC1
S(C(=O)CC(=O)CC(=O)CC(=O)CCCCC)CCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(OP(=O)(O)OC[C@H]1O[C@@H](N2C=NC3C(N)=NC=NC=32)[C@H](O)[C@@H]1OP(=O)(O)O)(O)=O	R10278	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OCC(C)(C)[C@@H](O)C(=O)NCCC(=O)NCCS)O1)OP(=O)(O)O.C1(CCCCC)C=C(O)C=C(O)C=1C(=O)O
[C@@H]1(C[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@H]2O[C@H]([C@@H](O)[C@@H](O)[C@H]2O)C)O1)O)N1C=C(C(=O)NC1=O)C	R10279	[C@@H]1(C[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@H]2O[C@H]([C@H](O)[C@@H](O)[C@H]2O)C)O1)O)N1C=C(C(=O)NC1=O)C
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3[C@H](O)CCC(C(=O)N)=C3)O2)O)O1)O	R10280	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3[C@@H](O)CCC(C(=O)N)=C3)O2)O)O1)O
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](OP(=O)(O)O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3[C@H](O)CCC(C(=O)N)=C3)O2)O)O1)O	R10281	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](OP(=O)(O)O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3[C@@H](O)CCC(C(=O)N)=C3)O2)O)O1)O
C1(/C=C/C(/C)=C/C=C/C(/C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C2=C(C)CCCC2(C)C)=C(C)CCCC1(C)C	R10282	C1C(C)(C)C(/C=C/C(/C)=C\C=C\C(\C)=C\C=C\C=C(/C)\C=C\C=C(/C)\C=C\C2C(C)(C)CCCC=2C)=C(C)CC1
OC(=O)C(=O)C[C@H](O)C(=O)O	R10283	CC(=O)C(=O)O.C(=O)(O)C=O
C(/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\C)OP(O)(=O)OP(=O)(O)O	R10284	P(=O)(O)(O)OP(=O)(O)O.[C@@]1([H])(C=CC(C)=CC1)[C@H](C)CC/C=C(\C)/C
C[N+](C)(C)CCO	R10285	[H+].CC=O.N(C)(C)C
C1(C[C@H](N)C(=O)O)C=CC=CC=1	R10286	C1([C@H](N)CC(=O)O)C=CC=CC=1
C1(C[C@H](N)C(=O)O)C=CC=CC=1	R10287	C1([C@@H](N)CC(=O)O)C=CC=CC=1
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](OP(=O)(O)O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3[C@@H](O)CCC(C(=O)N)=C3)O2)O)O1)O	R10288	P(=O)(O)(O)O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O.[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2
[H+].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C1C(O)=CC=C(/C=C/COC(=O)C)C=1	R10289	[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C(=O)(O)C.C1C=C(/C=C/C)C=CC=1O
C1([C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@H]2OC[C@@H](O)[C@H](O)[C@H]2O)O1)O)N1C=CC(=O)NC1=O.C1(=[O+]C2=C(C(O)=CC(O)=C2)C=C1O[C@H]1[C@H](O)[C@H]([C@H](O)[C@@H](CO)O1)O)C1C=CC(O)=CC=1	R10290	[C@@H]1([C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O)N1C=CC(=O)NC1=O.[C@H]1(O[C@@H]2[C@H]([C@H](O)[C@@H](CO)O[C@H]2OC2=CC3=C(C=C(C=C3O)O)[O+]=C2C2C=CC(O)=CC=2)O)[C@H](O)[C@@H](O)[C@H](O)CO1
C1([C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@H]2OC[C@@H](O)[C@H](O)[C@H]2O)O1)O)N1C=CC(=O)NC1=O.C1(=[O+]C2=C(C(O)=CC(O)=C2)C=C1O[C@H]1[C@H](O)[C@H]([C@H](O)[C@@H](CO)O1)O)C1C=CC(O)=C(O)C=1	R10291	[C@@H]1([C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O)N1C=CC(=O)NC1=O.[C@H]1(O[C@@H]2[C@H]([C@H](O)[C@@H](CO)O[C@H]2OC2=CC3=C(C=C(C=C3O)O)[O+]=C2C2C=C(O)C(O)=CC=2)O)[C@H](O)[C@@H](O)[C@H](O)CO1
C1([C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@H]2OC[C@@H](O)[C@H](O)[C@H]2O)O1)O)N1C=CC(=O)NC1=O.C1(C(=CC2=C(C=C(C=C2O)O)[O+]=1)O[C@H]1[C@H](O)[C@H]([C@H](O)[C@@H](CO)O1)O)C1C=C(O)C(O)=C(O)C=1	R10292	[C@@H]1([C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O)N1C=CC(=O)NC1=O.[C@H]1(O[C@@H]2[C@H]([C@H](O)[C@@H](CO)O[C@H]2OC2=CC3=C(C=C(C=C3O)O)[O+]=C2C2C=C(O)C(O)=C(O)C=2)O)[C@H](O)[C@@H](O)[C@H](O)CO1
[C@@H]1([C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]2[C@H](O)[C@H]([C@H](O)[C@@H](CO)O2)O)O1)O)N1C=CC(=O)NC1=O.[C@H]1(O[C@@H]2[C@H]([C@H](O)[C@@H](CO)O[C@H]2OC2=CC3=C(C=C(C=C3O)O)[O+]=C2C2C=CC(O)=CC=2)O)[C@H](O)[C@@H](O)[C@H](O)CO1	R10293	[C@@H]1([C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O)N1C=CC(=O)NC1=O.[C@H]1(CO)O[C@@H](OC2=CC(O)=CC3=C2C=C(O[C@H]2[C@H](O[C@H]4[C@H](O)[C@@H](O)[C@H](O)CO4)[C@H]([C@H](O)[C@@H](CO)O2)O)C(=[O+]3)C2C=CC(O)=CC=2)[C@H](O)[C@@H](O)[C@@H]1O
[C@@H]1([C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]2[C@H](O)[C@H]([C@H](O)[C@@H](CO)O2)O)O1)O)N1C=CC(=O)NC1=O.[C@H]1(O[C@@H]2[C@H]([C@H](O)[C@@H](CO)O[C@H]2OC2=CC3=C(C=C(C=C3O)O)[O+]=C2C2C=C(O)C(O)=CC=2)O)[C@H](O)[C@@H](O)[C@H](O)CO1	R10294	[C@@H]1([C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O)N1C=CC(=O)NC1=O.[C@H]1(CO)O[C@@H](OC2=CC(O)=CC3=C2C=C(O[C@H]2[C@H](O[C@H]4[C@H](O)[C@@H](O)[C@H](O)CO4)[C@H]([C@H](O)[C@@H](CO)O2)O)C(=[O+]3)C2C=C(O)C(O)=CC=2)[C@H](O)[C@@H](O)[C@@H]1O
[C@@H]1([C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]2[C@H](O)[C@H]([C@H](O)[C@@H](CO)O2)O)O1)O)N1C=CC(=O)NC1=O.[C@H]1(O[C@@H]2[C@H]([C@H](O)[C@@H](CO)O[C@H]2OC2=CC3=C(C=C(C=C3O)O)[O+]=C2C2C=C(O)C(O)=C(O)C=2)O)[C@H](O)[C@@H](O)[C@H](O)CO1	R10295	[C@@H]1([C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O)N1C=CC(=O)NC1=O.[C@H]1(CO)O[C@@H](OC2=CC(O)=CC3=C2C=C(O[C@H]2[C@H](O[C@H]4[C@H](O)[C@@H](O)[C@H](O)CO4)[C@H]([C@H](O)[C@@H](CO)O2)O)C(=[O+]3)C2C=C(O)C(O)=C(O)C=2)[C@H](O)[C@@H](O)[C@@H]1O
C1(=[O+]C2=C(C(O)=CC(O)=C2)C=C1O[C@H]1[C@H](O)[C@H]([C@H](O)[C@@H](CO)O1)O)C1C=CC(O)=CC=1.[C@H]1(CO)O[C@@H](OC(=O)C2C=CC(O)=C(OC)C=2)[C@H](O)[C@@H](O)[C@@H]1O	R10296	C1C(C(O)=O)=CC(OC)=C(O)C=1.[C@H]1(CO)O[C@@H](OC2C=C(O)C3=C(C=2)[O+]=C(C2C=CC(O)=CC=2)C(=C3)O[C@H]2[C@H](O)[C@H]([C@H](O)[C@@H](CO)O2)O)[C@H](O)[C@@H](O)[C@@H]1O
C1(C(=CC2=C(C=C(C=C2O)O)[O+]=1)O[C@H]1[C@H](O)[C@H]([C@H](O)[C@@H](CO)O1)O)C1C=C(O)C(O)=C(O)C=1.[C@H]1(CO)O[C@@H](OC(=O)C2C=CC(O)=C(OC)C=2)[C@H](O)[C@@H](O)[C@@H]1O	R10297	C1C(C(O)=O)=CC(OC)=C(O)C=1.[C@H]1(CO)O[C@@H](OC2C=C(O)C3=C(C=2)[O+]=C(C2C=C(O)C(O)=C(O)C=2)C(=C3)O[C@H]2[C@H](O)[C@H]([C@H](O)[C@@H](CO)O2)O)[C@H](O)[C@@H](O)[C@@H]1O
C1(/C=C/C(=O)O[C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O2)C=C(OC)C(O)=C(OC)C=1.C1(=[O+]C2=C(C(O)=CC(O)=C2)C=C1O[C@H]1[C@H](O)[C@H]([C@H](O)[C@@H](CO)O1)O)C1C=CC(O)=CC=1	R10298	C1(/C=C/C(=O)O)C=C(OC)C(O)=C(OC)C=1.C12C=C(C(C3C=CC(O)=CC=3)=[O+]C=1C=C(C=C2O[C@H]1[C@H](O)[C@H]([C@H](O)[C@@H](CO)O1)O)O)O[C@H]1[C@H](O)[C@H]([C@H](O)[C@@H](CO)O1)O
C1(/C=C/C(=O)O[C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O2)C=C(OC)C(O)=C(OC)C=1.C1(C(=CC2=C(C=C(C=C2O)O)[O+]=1)O[C@H]1[C@H](O)[C@H]([C@H](O)[C@@H](CO)O1)O)C1C=C(O)C(O)=C(O)C=1	R10299	C1(/C=C/C(=O)O)C=C(OC)C(O)=C(OC)C=1.C12C=C(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C(C3C=C(O)C(O)=C(O)C=3)=[O+]C=1C=C(O)C=C2O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1
O([H])[H].[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O.[C@H]1([C@@H]([C@H](O)[C@@H](O)[C@H](O)[C@H]1O)O)O[C@H]1O[C@@H]([C@@H](O)[C@@H]([C@H]1NC(=O)[C@H](CSCO)NC(=O)C)O)CO	R10301	[H+].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O.C([H])(=O)O.[C@H]1([C@@H]([C@H](O)[C@@H](O)[C@H](O)[C@H]1O)O)O[C@H]1O[C@@H]([C@@H](O)[C@@H]([C@H]1NC(=O)[C@H](CS)NC(=O)C)O)CO
C(C/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\COP(=O)(O)OP(=O)(O)O[C@@H]1[C@H](NC(C)=O)[C@@H](O)[C@H](O[C@H]2[C@@H](NC(C)=O)[C@@H](O)[C@H](O)[C@@H](C(O)=O)O2)[C@@H](CO)O1)/C)/C)/C)/C)/C)/C)/C)/C)/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/C.[C@@H]1(C[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@H]2O[C@@H]([C@H](NC(C)=O)[C@H](O)[C@H]2O)C)O1)O)N1C=C(C(=O)NC1=O)C	R10303	[C@@H]1(C[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O)N1C=C(C(=O)NC1=O)C.C(C/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\COP(=O)(O)OP(=O)(O)O[C@@H]1[C@H](NC(C)=O)[C@@H](O)[C@H](O[C@H]2[C@@H](NC(C)=O)[C@@H](O)[C@H](O[C@@H]3[C@H](O)[C@@H](O)[C@@H](NC(C)=O)[C@@H](C)O3)[C@@H](C(O)=O)O2)[C@@H](CO)O1)/C)/C)/C)/C)/C)/C)/C)/C)/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/C
O([H])[H].O(P(O)(=O)O)C(=C)C(=O)O.O[C@H]1O[C@@H]([C@@H](NC(=O)C)[C@H](O)[C@@H]1NC(=O)C)C	R10304	P(=O)(O)(O)O.[C@]1([H])([C@H](NC(=O)C)[C@H](O)C)O[C@](C[C@H](O)[C@H]1NC(=O)C)(O)C(=O)O
OC(=O)[C@@H](N)CCS.[C@@H](N)(C(=O)O)COC(=O)C	R10305	C(=O)(O)C.[C@@H](N)(C(=O)O)CCSC[C@H](N)C(=O)O
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](C[S+](C)CC[C@H](N)C(=O)[O-])O1)O.C12O[C@@]3([H])OCC[C@@]3([H])C=1C1=C(C(=O)C3=C(O)C=CC=C3O1)C(OC)=C2	R10307	[C@H]1(N2C=NC3C(N)=NC=NC2=3)[C@H](O)[C@@H]([C@@H](CSCC[C@H](N)C(=O)O)O1)O.C12O[C@@]3([H])OCC[C@@]3([H])C=1C1=C(C(=O)C3=C(OC)C=CC=C3O1)C(OC)=C2
[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O.C(/C)(=C/CO)\CC/C=C(\C)/C	R10308	[H+].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O.C(/C)(=C/C=O)\CC/C=C(\C)/C
[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C1=C(O)C2C(=O)C3C(O)=C([C@@H](O)CCCCC)C(O)=CC=3C(=O)C=2C=C1O	R10309	[H+].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C1=C(O)C2C(=O)C3C(O)=C(C(=O)CCCCC)C(O)=CC=3C(=O)C=2C=C1O
[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O.C1=C(O)C2C(=O)C3C(O)=C([C@@H](O)CCC[C@@H](O)C)C(O)=CC=3C(=O)C=2C=C1O	R10310	[H+].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O.C1=C(O)C2C(=O)C3C(O)=C([C@@H](O)CCCC(=O)C)C(O)=CC=3C(=O)C=2C=C1O
[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O.C1=C(O)C2C(=O)C3C(O)=C([C@@H](O)CCC[C@H](O)C)C(O)=CC=3C(=O)C=2C=C1O	R10311	[H+].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O.C1=C(O)C2C(=O)C3C(O)=C([C@@H](O)CCCC(=O)C)C(O)=CC=3C(=O)C=2C=C1O
O=O.C(=O)(C(=O)O)CCC(O)=O.[C@H]1([C@H]([C@@H]([C@H]([C@H](O1)O[C@H]1[C@@H]([C@H]([C@H](N)C[C@@H]1N)O[C@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)N)O)CO)O)N)O)O)CN	R10312	N([H])([H])[H].C(=O)=O.OC(=O)CCC(=O)O.[C@H]1([C@H]([C@@H](C([C@H](O1)O[C@H]1[C@@H]([C@H]([C@H](N)C[C@@H]1N)O[C@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)N)O)CO)O)=O)O)O)CN
O=O.[C@H]1(CC2C=CC=CC=2)C(=O)N[C@@H](CC(C)C)C(=O)N1	R10327	OO.C1(=C/C2C=CC=CC=2)\C(=O)N[C@@H](CC(C)C)C(=O)N\1
O=O.C1(=C/C2C=CC=CC=2)\C(=O)N[C@@H](CC(C)C)C(=O)N\1	R10328	OO.C1(=C/C2C=CC=CC=2)\C(=O)N/C(=C\C(C)C)/C(=O)N\1
[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O.C12=C(N=C(NC1=O)N)N[C@@H](C)[C@]([H])([C@@H](C)NC1=CC=C(C[C@H](O)[C@H](O)[C@H](O)CO[C@@H]3[C@H](O)[C@@H]([C@@H](COP(=O)(O)O[C@H](C(=O)O)CCC(=O)O)O3)O)C=C1)N2	R10332	[H+].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O.C12C(=O)NC(N)=NC=1N[C@H](C([C@@H](C)NC1=CC=C(C[C@H](O)[C@H](O)[C@H](O)CO[C@@H]3[C@H](O)[C@@H]([C@@H](COP(=O)(O)O[C@H](C(=O)O)CCC(=O)O)O3)O)C=C1)=N2)C
N1C(=O)C2N[C@@H](CNC3C=CC(C(=O)N[C@H](C(O)=O)CCC(=O)O)=CC=3)CNC=2N=C1N.[O-]C(=O)CC[S+](C)C	R10333	N1C(=O)C2N(C)[C@@H](CNC3C=CC(C(=O)N[C@H](C(O)=O)CCC(=O)O)=CC=3)CNC=2N=C1N.C(CSC)C(=O)O
[C@@H]1(OP(=O)(O)OP(=O)(O)O)[C@H](O)[C@@H]([C@@H](COP(=O)(O)O)O1)O.C1C(C(O)=O)=CC=C(N)C=1	R10337	P(=O)(O)(O)OP(=O)(O)O.C(=O)=O.[C@H]1(C2C=CC(N)=CC=2)[C@H](O)[C@@H]([C@@H](COP(=O)(O)O)O1)O
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](C[S+](C)CCCN)O1)O.C(CCCN)NC(=N)N	R10338	[C@H]1(N2C=NC3C(N)=NC=NC2=3)[C@H](O)[C@@H]([C@@H](CSC)O1)O.C(CCCNCCCN)NC(=N)N
C12C(=O)NC(N)=NC=1NCC(COP(=O)(O)OP(=O)(O)O)=N2.[C@H]1(C2C=CC(N)=CC=2)[C@H](O)[C@@H]([C@@H](COP(=O)(O)O)O1)O	R10339	P(=O)(O)(O)OP(=O)(O)O.N1C(=O)C2N=C(CNC3C=CC(=CC=3)[C@H]3[C@H](O)[C@@H]([C@@H](COP(=O)(O)O)O3)O)CNC=2N=C1N
P(=O)(O)(OC/C=C(\C)/C)OP(=O)(O)O.[C@H]1(CC2=CNC3=CC=CC=C23)C(=O)N2CCC[C@@]2([H])C(=O)N1	R10340	P(=O)(O)(O)OP(=O)(O)O.[C@H]1(CC2=C(C/C=C(/C)\C)NC3=CC=CC=C23)C(=O)N2CCC[C@@]2([H])C(=O)N1
P(=O)(O)(OC/C=C(\C)/C)OP(=O)(O)O.C12N3[C@@H](/C=C(\C)/C)OOC(C)(C)C[C@]1([H])N1C(=O)[C@]4([H])CCCN4C(=O)[C@]1(O)[C@@H](O)C=2C1=CC=C(OC)C=C31	R10341	P(=O)(O)(O)OP(=O)(O)O.C12N3[C@@H](/C=C(\C)/C)OOC(C)(C)C[C@]1([H])N1C(=O)[C@]4([H])CCCN4C(=O)[C@]1(O)[C@@H](OC/C=C(/C)\C)C=2C1=CC=C(OC)C=C31
