P(=O)(O)(O)OP(=O)(O)O.O([H])[H]	R00004	P(=O)(O)(O)O
O([H])[H].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=NC4C(N)=NC=NC3=4)O2)O)O1)O	R00184	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)O)O1)O
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](CO)O1)O	R00185	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)O)O1)O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O
O([H])[H].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=NC4C(N)=NC=NC3=4)O2)O)O1)O	R00187	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)O)O1)O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O
O([H])[H].N1(C=NC2C(N)=NC=NC1=2)[C@@H]1O[C@@H]([C@@H](OP(=O)(O)O)[C@H]1O)COP(=O)(O)O	R00188	P(=O)(O)(O)O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)O)O1)O
P(=O)(O)(O)OP(=O)(O)O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)O)O1)O	R00190	C12N=CNC=1N=CN=C2N.[C@@H]1(OP(=O)(O)OP(=O)(O)O)[C@H](O)[C@@H]([C@@H](COP(=O)(O)O)O1)O
O([H])[H].N1(C=NC2C(N)=NC=NC1=2)[C@@H]1O[C@H]2[C@@H](OP(OC2)(=O)O)[C@H]1O	R00191	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)O)O1)O
O([H])[H].[C@H]1(N2C=NC3C(N)=NC=NC2=3)[C@H](O)[C@@H]([C@@H](CSCC[C@H](N)C(=O)O)O1)O	R00192	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](CO)O1)O.OC(=O)[C@@H](N)CCS
O([H])[H].[C@H]1(N2C=NC3C(N)=NC=NC2=3)[C@H](O)[C@@H]([C@@H](CSCC[C@H](N)C(=O)O)O1)O	R00193	N([H])([H])[H].N1(C2N=CN=C(O)C=2N=C1)[C@H]1[C@H](O)[C@@H]([C@@H](CSCC[C@H](N)C(=O)O)O1)O
O([H])[H].[C@H]1(N2C=NC3C(N)=NC=NC2=3)[C@H](O)[C@@H]([C@@H](CSCC[C@H](N)C(=O)O)O1)O	R00194	C12N=CNC=1N=CN=C2N.OC1[C@H](O)[C@@H]([C@@H](CSCC[C@H](N)C(=O)O)O1)O |w:1,a:2,4,5,10|
O([H])[H].C(N)(CN)C(=O)O	R00195	N([H])([H])[H].CC(=O)C(=O)O
O([H])[H].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O.CC(=O)C(=O)O	R00199	P(=O)(O)(O)O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)O)O1)O.O(P(O)(=O)O)C(=C)C(=O)O
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O.CC(=O)C(=O)O	R00200	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O.O(P(O)(=O)O)C(=C)C(=O)O
O([H])[H].[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O.C(=O)(C)C=O	R00203	[H+].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O.CC(=O)C(=O)O
O([H])[H].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C(=O)(C)C=O	R00205	[H+].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.CC(=O)C(=O)O
P(=O)(O)(O)O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O.CC(=O)C(=O)O	R00206	P(=O)(O)(O)OP(=O)(O)O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)O)O1)O.O(P(O)(=O)O)C(=C)C(=O)O
P(=O)(O)(O)O.O=O.CC(=O)C(=O)O	R00207	OO.C(=O)=O.P(=O)(O)(O)OC(=O)C
