OP(=O)(O)OP(=O)(O)O.O	R00004	OP(=O)(O)O
C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)O.C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)O)O)C(=O)NC1=O	R00157	C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)O.C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O2)O)O)C(=O)NC1=O
C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O2)O)O)C(=O)NC1=O	R00158	C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)O.C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O2)O)O)C(=O)NC1=O
O.C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)O)O)C(=O)NC1=O	R00159	OP(=O)(O)O.C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O2)O)O)C(=O)NC1=O
O.CC1=CC2=C(C=C1C)N(C[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O)O)O)C6=NC(=O)NC(=O)C6=N2	R00160	CC1=CC2=C(C=C1C)N(C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O)C3=NC(=O)NC(=O)C3=N2.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)O
CC1=CC2=C(C=C1C)N(C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O)C3=NC(=O)NC(=O)C3=N2.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O	R00161	OP(=O)(O)OP(=O)(O)O.CC1=CC2=C(C=C1C)N(C[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O)O)O)C6=NC(=O)NC(=O)C6=N2
O.CC1=C(C(=C(C=N1)COP(=O)(O)O)C=O)O	R00173	OP(=O)(O)O.CC1=C(C(=C(C=N1)CO)C=O)O
C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.CC1=C(C(=C(C=N1)CO)C=O)O	R00174	C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)O.CC1=C(C(=C(C=N1)COP(=O)(O)O)C=O)O
O.C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O	R00175	CSC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O.C(CO)[C@@H](C(=O)O)N
OP(=O)(O)OP(=O)(O)O.OP(=O)(O)O.C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O	R00177	O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.CSCC[C@@H](C(=O)O)N
[H+].C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O	R00178	C(=O)=O.C[S+](CCCN)C[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O
