OP(=O)(O)OP(=O)(O)O.O	R00004	OP(=O)(O)O
O=O.C1=CC2=C(C(=C1)Cl)NC=C2C[C@@H](C(=O)O)N	R09560	OO.C1=CC2=C(C(=C1)Cl)NC=C2CC(=N)C(=O)O
O.O=O.C/C(=C\CC/C(=C/CC/C(=C/CSC[C@@H](C(=O)O)N)/C)/C)/C	R09562	OO.C([C@@H](C(=O)O)N)S.C/C(=C\CC/C(=C/CC/C(=C/C=O)/C)/C)/C
OO.[H+].[Cl-]	R09564	O.ClO
O=O.C1=C(C(=C(C=C1C(=O)O)O)O)O	R09565	C(/C(=C\C(=O)O)/C(=O)O)C(=O)C(=O)O
O.C1=CC2=C(C(=C1)Cl)NC3=C4C(=C5C(=C23)C(=O)NC5=O)C6=CC=CC(=C6N4[C@H]7[C@@H]([C@H]([C@@H]([C@@H](CO)O7)O)O)O)Cl	R09568	C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O)O1)O)O)O)O.C1=CC2=C(C(=C1)Cl)NC3=C4C(=C5C(=C23)C(=O)NC5=O)C6=CC=CC(=C6N4)Cl
C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O.C1=CC2=C(C(=C1)Cl)NC3=C4C(=C5C(=C23)C(=O)NC5=O)C6=CC=CC(=C6N4[C@H]7[C@@H]([C@H]([C@@H]([C@@H](CO)O7)O)O)O)Cl	R09569	C(CSC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)[C@@H](C(=O)O)N.CO[C@@H]1[C@@H](CO)O[C@H]([C@@H]([C@H]1O)O)N2C3=C(C=CC=C3C4=C5C(=C6C7=C(C(=CC=C7)Cl)NC6=C42)C(=O)NC5=O)Cl
[H+].O=O.C1=CC2=C(C=C1)NC=C2C[C@@H](C(=O)O)N.CC1=C(C)C=C2C(=C1)NC3=C(NC(=O)NC3=O)N2C[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]4[C@H]([C@H]([C@H](N5C=NC6=C5N=CN=C6N)O4)O)O)O)O)O.[Cl-]	R09570	O.CC1=CC2=C(C=C1C)N(C[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O)O)O)C6=NC(=O)NC(=O)C6=N2.C1=CC2=C(C(=C1)Cl)NC=C2C[C@@H](C(=O)O)N
O=O.C(CC(=O)O)C(=O)C(=O)O.C1C[C@@H](C(=O)O)NC1	R09572	C(=O)=O.C(CC(=O)O)C(=O)O.C1CN[C@@H]([C@@H]1O)C(=O)O
C/C(=C\CC/C(=C/CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C)/C	R09574	OP(=O)(O)OP(=O)(O)O.C=C(C)[C@@H]1CC=C2CCC[C@@H](C)[C@@]2(C)C1
C1=CC=C(C=C1)C[C@@H](C(=O)O)N(O)O	R09581	O.C(=O)=O.C1=CC=C(C=C1)C/C=N/O
C1=CC2=C(C=C1)NC=C2C[C@@H](C(=O)O)N(O)O	R09585	O.C(=O)=O.C1=CC2=C(C=C1)NC=C2C/C=N/O
[H+].O=O.C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C1=CNC(=C1)C(=O)O	R09586	O.C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C1=C(C(=O)O)NC(=C1)O
C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.C[C@H](C(=O)O)N.C[C@H](C(=O)O)O	R09588	OP(=O)(O)O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)O.C[C@H](C(=O)O[C@H](C)C(=O)O)N
C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.[OH-].C1=CC(=CC(=C1)C(=O)O)O	R09589	OP(=O)(O)OP(=O)(O)O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)O.C1=CC(=CC(=C1)C(=O)[O-])O
C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.C([C@@H](C(=O)O)N)S.C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@@H]([C@@H]([C@H]([C@@H]([C@H]2O)O)O)O)O)N)O)O)O	R09591	OP(=O)(O)OP(=O)(O)O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)O.C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@H]2[C@@H]([C@H]([C@@H]([C@H]([C@H]2O)O)O)O)O)NC(=O)[C@H](CS)N)O)O)O
C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.C(CC(=O)O)[C@@H](C(=O)O)N.C[C@H]([C@H]1[C@H](C)NC2=C(C(=O)NC(=N2)N)N1)NC3=CC=C(C=C3)C[C@@H]([C@@H]([C@@H](CO[C@@H]4[C@@H]([C@@H]([C@@H](COP(=O)(O)O[C@@H](CCC(=O)O)C(=O)O)O4)O)O)O)O)O	R09594	OP(=O)(O)O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)O.C[C@H]([C@H]1[C@H](C)NC2=C(C(=O)NC(=N2)N)N1)NC3=CC=C(C=C3)C[C@@H]([C@@H]([C@@H](CO[C@@H]4[C@@H]([C@@H]([C@@H](COP(=O)(O)O[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)O)O4)O)O)O)O)O
C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.C([C@H](C(=O)O)N)O.C[C@H](C(=O)O)N	R09595	OP(=O)(O)O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)O.C[C@H](C(=O)N[C@H](CO)C(=O)O)N
C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.C(CCN)C[C@H](C(=O)O)N.C[C@@H](C(=O)N[C@H](CCC(=O)O)C(=O)O)NC(=O)[C@@H](C)O[C@@H]1[C@H]([C@H](O[C@H](CO)[C@H]1O)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@H](N3C=CC(=O)NC3=O)O2)O)O)NC(=O)C	R09596	OP(=O)(O)O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)O.C[C@@H](C(=O)N[C@H](CCC(=O)NCCCC[C@H](C(=O)O)N)C(=O)O)NC(=O)[C@@H](C)O[C@@H]1[C@H]([C@H](O[C@H](CO)[C@H]1O)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@H](N3C=CC(=O)NC3=O)O2)O)O)NC(=O)C
O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.C(CC(=O)N)[C@@H](C(=O)O)N.CC1=C2[C@@H](CCC(=O)O)C(C)(C)C(=N2)C=C3[C@@H](CCC(=O)O)[C@](C)(CC(=O)O)C(=N3)C(=C4[C@@H](CCC(=O)O)[C@](C)(CC(=O)O)[C@](C)([C@H]5[C@H](CC(=O)O)[C@@](C)(CCC(=O)O)C1=N5)N4[Co+])C	R09598	OP(=O)(O)O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)O.C(CC(=O)O)[C@@H](C(=O)O)N.CC1=C2[C@@H](CCC(=O)O)C(C)(C)C(=N2)C=C3[C@@H](CCC(=O)O)[C@](C)(CC(=O)N)C(=N3)C(=C4[C@@H](CCC(=O)O)[C@](C)(CC(=O)O)[C@](C)([C@H]5[C@H](CC(=O)O)[C@@](C)(CCC(=O)O)C1=N5)N4[Co+])C
O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.C(CC(=O)N)[C@@H](C(=O)O)N.CC1=C2[C@@H](CCC(=O)O)C(C)(C)C(=N2)C=C3[C@@H](CCC(=O)O)[C@](C)(CC(=O)N)C(=N3)C(=C4[C@@H](CCC(=O)O)[C@](C)(CC(=O)O)[C@](C)([C@H]5[C@H](CC(=O)O)[C@@](C)(CCC(=O)O)C1=N5)N4[Co+])C	R09599	OP(=O)(O)O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)O.C(CC(=O)O)[C@@H](C(=O)O)N.CC1=C2[C@@H](CCC(=O)O)C(C)(C)C(=N2)C=C3[C@@H](CCC(=O)O)[C@](C)(CC(=O)N)C(=N3)C(=C4[C@@H](CCC(=O)O)[C@](C)(CC(=O)N)[C@](C)([C@H]5[C@H](CC(=O)O)[C@@](C)(CCC(=O)O)C1=N5)N4[Co+])C
CC(=O)N[C@@H]1[C@H]([C@H](O[C@@H]([C@H]1O)C(=O)O)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@H](N3C=CC(=O)NC3=O)O2)O)O)NC(=O)C	R09600	CC(=O)N[C@@H]1[C@@H]([C@H](O[C@@H]([C@H]1O)C(=O)O)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@H](N3C=CC(=O)NC3=O)O2)O)O)NC(=O)C
O=O.C/C(=C\C=C\C=C(/C)\C=C\C=C(/C)\C=O)/C=C/C=C(\C)/C=C/C1=C(C)CCCC1(C)C	R09601	C/C(=C\C=C\C(=C\C=O)\C)/C=C/C1=C(C)CCCC1(C)C.C/C(=C\C=O)/C=C/C=C(\C)/C=O
C/C(=C\CC/C(=C/CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C)/C	R09606	OP(=O)(O)OP(=O)(O)O.C[C@@H]1CC[C@@H]2[C@H](C3=C(C)CC[C@H]13)C2(C)C
C/C(=C/CC/C(=C\CC/C(=C\COP(=O)(O)OP(=O)(O)O)/C)/C)/C	R09607	OP(=O)(O)OP(=O)(O)O.C/C(=C\CC[C@@]1(C)[C@H]2CC=C(C)[C@@H]1C2)/C
C/C(=C/CC/C(=C\CC/C(=C\COP(=O)(O)OP(=O)(O)O)/C)/C)/C	R09608	OP(=O)(O)OP(=O)(O)O.C/C(=C\CC[C@]1(C)[C@H]2C[C@@H]3C(C2)C31C)/C
C/C(=C/CC/C(=C\CC/C(=C\COP(=O)(O)OP(=O)(O)O)/C)/C)/C	R09609	OP(=O)(O)OP(=O)(O)O.C/C(=C\CC[C@@]1(C)[C@H]2CCC(=C)[C@@H]1C2)/C
C/C(=C\CC/C(=C/CC/C(=C\COP(=O)(O)OP(=O)(O)O)/C)/C)/C	R09610	OP(=O)(O)OP(=O)(O)O.CC(C)[C@H]1CCC(=C)[C@H]2CCC(=C[C@H]12)C
C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O.C1=C(C(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O)O)O2)O)O)O	R09612	C(CSC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)[C@@H](C(=O)O)N.COC1=C(C(=CC(=C1)C2=CC(=O)C3=C(C=C(C=C3O)O)O2)O)O
C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O.COC1=C(C(=CC(=C1)C2=CC(=O)C3=C(C=C(C=C3O)O)O2)O)O	R09613	C(CSC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)[C@@H](C(=O)O)N.COC1=CC(=CC(=C1O)OC)C2=CC(=O)C3=C(C=C(C=C3O)O)O2
C/C(=C\CC/C(=C/CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C)/C	R09614	OP(=O)(O)OP(=O)(O)O.CC1=CC[C@]2(C)CC1[C@]3(C)CCC[C@]23C
C/C(=C\CC/C(=C/CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C)/C	R09615	OP(=O)(O)OP(=O)(O)O.CC(C)[C@H]1CC[C@H](C)C2=CCC(=C[C@H]12)C
C/C(=C\CC/C(=C/CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C)/C	R09616	OP(=O)(O)OP(=O)(O)O.CC(C)C1=CC2=C(C)CCC[C@]2(C)CC1
O.C/C(=C\CC/C(=C/CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C)/C	R09617	OP(=O)(O)OP(=O)(O)O.CC(C)[C@H]1CC[C@H](C)[C@@]2(CCC(=C[C@H]12)C)O
O.C/C(=C\CC/C(=C/CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C)/C	R09618	OP(=O)(O)OP(=O)(O)O.C=C[C@@](C)(CC/C=C(\C)/CC/C=C(/C)\C)O
C/C(=C\CC/C(=C/CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C)/C	R09619	OP(=O)(O)OP(=O)(O)O.C/C(=C\CC/C(=C\1/CC=C(C)CC1)/C)/C
C/C(=C\CC/C(=C/CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C)/C	R09620	OP(=O)(O)OP(=O)(O)O.C/C(=C\CC/C(=C/1\CC=C(C)CC1)/C)/C
CC(=O)[O-].C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@H]2[C@@H]([C@H]([C@@H]([C@H]([C@H]2O)O)O)O)O)NC(=O)[C@H](CS)N)O)O)O	R09622	[OH-].CC(=O)N[C@@H](CS)C(=O)N[C@@H]1[C@H]([C@@H]([C@@H](CO)O[C@@H]1O[C@H]2[C@@H]([C@H]([C@@H]([C@H]([C@H]2O)O)O)O)O)O)O
C/C(=C\CC/C(=C/CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C)/C	R09623	OP(=O)(O)OP(=O)(O)O.C/C(=C\CCC(=C)[C@@H]1CC=C(C)CC1)/C
C/C(=C\CC/C(=C/CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C)/C	R09624	OP(=O)(O)OP(=O)(O)O.CC(C)C1=CC=C(C)CCC=C(C)CC1
C/C(=C\CCC(=C)[C@@H]1CC=C(C)CC1)/C	R09625	CC1=CC[C@H](CC1)C2=CCCC(C)(C)C2
C/C(=C\CC/C(=C/CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C)/C	R09626	OP(=O)(O)OP(=O)(O)O.CC(C)[C@@H]1CC[C@H](C)[C@H]2CC=C(C)C=C12
C/C(=C\CC/C(=C/CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C)/C	R09627	OP(=O)(O)OP(=O)(O)O.CC(C)[C@@H]1CC[C@H](C)[C@H]2CCC(=C)C=C12
O.C/C(=C\CC/C(=C/CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C)/C	R09628	OP(=O)(O)OP(=O)(O)O.CC1=CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1CO
O.C/C(=C\CC/C(=C/CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C)/C	R09629	OP(=O)(O)OP(=O)(O)O.C[C@H]1CC[C@]2(C(C)(C)[C@@H]3CCC2(C)[C@H]1C3)O
O.C/C(=C\CC/C(=C/CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C)/C	R09630	OP(=O)(O)OP(=O)(O)O.C[C@@H]1CC[C@H]2C(C)(C)C[C@]3(C)CC[C@@H]1[C@@]23O
CC(=O)[O-].CC/C=C\CCO	R09631	[OH-].CC/C=C\CCOC(=O)C
OP(=O)(O)O.C[C@H]1[C@@H]([C@H]([C@H](C(O)O1)O)O)O[C@H]2[C@@H]([C@H]([C@H]([C@@H](CO)O2)O)O)O	R09632	C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OP(=O)(O)O)O)O)O)O.C[C@H]1[C@@H]([C@H]([C@H](C(O)O1)O)O)O
CC(=O)N[C@@H]1[C@H]([C@@H]([C@@H](CO)O[C@@H]1OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@H](N3C=CC(=O)NC3=O)O2)O)O)O)O.[C@@H]1([C@@H]([C@@H]([C@@H]([C@H]([C@@H]1O)O)OP(=O)(O)O)O)O)O	R09634	C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O2)O)O)C(=O)NC1=O.CC(=O)N[C@@H]1[C@H]([C@@H]([C@@H](CO)O[C@@H]1O[C@H]2[C@@H]([C@H]([C@@H]([C@H]([C@H]2O)OP(=O)(O)O)O)O)O)O)O
C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O3)O)O)O)O2)O)O)C(=O)NC1=O.C1=C(C=C(C(=C1)O)O)C2=[O+]C3=C(C=C2O[C@H]4[C@@H]([C@H]([C@@H]([C@@H](CO)O4)O)O)O)C(=CC(=C3)O)O	R09635	C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O2)O)O)C(=O)NC1=O.C1=C(C=C(C(=C1)O)O)C2=[O+]C3=C(C=C2O[C@H]4[C@@H]([C@H]([C@@H]([C@@H](CO)O4)O)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O5)O)O)O)C(=CC(=C3)O)O
C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O3)O)O)O)O2)O)O)C(=O)NC1=O.CC1(C)C[C@H]2C3=CC[C@@H]4[C@@]5(C)CC[C@@H]([C@](C)(CO)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]2(C)[C@@H](C1)O)O	R09636	C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O2)O)O)C(=O)NC1=O.CC1(C)C[C@H]2C3=CC[C@@H]4[C@@]5(C)CC[C@@H]([C@](C)(CO)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]2(C)[C@@H](C1)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O6)O)O)O
C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O.[F-]	R09637	CSCC[C@@H](C(=O)O)N.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)F
C1=CC2=C(C=C1)NC=C2C[C@@H](C(=O)O)N.C/C(=C\COP(=O)(O)OP(=O)(O)O)/C	R09638	OP(=O)(O)OP(=O)(O)O.C/C(=C\CC1=CC=CC2=C1NC=C2C[C@@H](C(=O)O)N)/C
C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O.[Cl-]	R09639	CSCC[C@@H](C(=O)O)N.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)Cl
O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.C[C@H](C(=O)O)O[C@@H]1[C@H]([C@@H]2OC[C@H]([C@H]1O)O2)NC(=O)C	R09640	C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)O.C[C@H](C(=O)O)O[C@@H]1[C@H]([C@H](O)O[C@H](COP(=O)(O)O)[C@H]1O)NC(=O)C
C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@@H](CO)O3)O)O)O)O2)O)O)C(=O)NC1=O.C/C(=C\CC/C(=C/CC/C(=C/CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\COP(=O)(O)O)/C)/C)/C)/C)/C)/C)/C)/C)/C)/C)/C	R09641	C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O2)O)O)C(=O)NC1=O.C/C(=C\CC/C(=C/CC/C(=C/CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\COP(=O)(O)OP(=O)(O)O[C@@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O)/C)/C)/C)/C)/C)/C)/C)/C)/C)/C)/C
C1=CN(C2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H](CO3)O)O)O)O2)O)O)C(=O)NC1=O.C([C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)O[C@H]2[C@@H]([C@@H](CO)O[C@@H]([C@H]2O)O)O)O)O)O)O	R09642	C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O2)O)O)C(=O)NC1=O.C([C@@H]1[C@H]([C@@H]([C@@H]([C@@H](O)O1)O)O[C@@H]2[C@H]([C@H]([C@@H]([C@@H](COP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H](CO3)O)O)O)O2)O)O)O)O)O
O.C(C(=O)[O-])F	R09643	[OH-].C(C(=O)O)F
O.C1CN[C@H](CN1)C(=O)N	R09647	N.C1CN[C@H](CN1)C(=O)O
O.C(CN)C(=O)N	R09648	N.C(CN)C(=O)O
O.C1CN[C@@H](CN1)C(=O)N	R09649	N.C1CN[C@@H](CN1)C(=O)O
O.C1C[C@@H](C(=O)N)NC1	R09650	N.C1C[C@@H](C(=O)O)NC1
O.CC(=O)N[C@@H]1[C@H]([C@@H]([C@@H](CO)O[C@@H]1O[C@@H]2[C@@H]([C@@H]([C@H]([C@@H]([C@H]2O)O)O)O)O)O)O	R09651	CC(=O)O.C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@@H]([C@@H]([C@H]([C@@H]([C@H]2O)O)O)O)O)N)O)O)O
C/C(=C\CC/C(=C/CC/C(=C\C=C\C(=C\C=C/C=C(\C)/C=C/C=C(/C)\CC/C=C(\C)/CC/C=C(/C)\C)\C)/C)/C)/C	R09655	C/C(=C/CC/C(=C/CC/C(=C\C=C\C(=C\C=C\C=C(/C)\C=C\C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/C)\C)/C)/C)/C
O.C(C[C@@H](CC(=O)N[C@@H]1[C@@H]([C@H]([C@@H](CO)O[C@H]1NC2=N[C@H]3[C@@H]([C@@H](CNC3=O)O)N2)OC(=O)N)O)N)CN	R09657	C(C[C@@H](CC(=O)N[C@@H]1[C@@H]([C@H]([C@@H](CO)O[C@H]1NC2=N[C@@H]([C@@H]([C@@H](CN)O)N2)C(=O)O)OC(=O)N)O)N)CN
O.CSC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O	R09660	N.CSC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CNC3=O)O1)O)O
O.C1=C(C=C(C(=C1)N)C(=O)O)[N+](=O)[O-]	R09661	N.C1=C(C=C(C(=C1)O)C(=O)O)[N+](=O)[O-]
O.C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@H](COP(=O)(O)O)C(=O)O)O)O)O)O	R09664	OP(=O)(O)O.C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@H](CO)C(=O)O)O)O)O)O
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@H](N3C=NC4=C3N=CN=C4N)O2)O)O)O)O)O)O.C([C@H](C(=O)O)O)O	R09665	C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)O.C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@H](CO)C(=O)O)O)O)O)O
C([C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@H](N3C=NC4=C3N=C(N)NC4=O)O2)O)O)O)O)O)O.C([C@H](C(=O)O)O)O	R09666	C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=C(N)NC3=O)O1)O)O)OP(=O)(O)OP(=O)(O)O.C([C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)O[C@H](CO)C(=O)O)O)O)O)O
C([C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@H](N3C=NC4=C3N=C(N)NC4=O)O2)O)O)O)O)O)O.C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@H](COP(=O)(O)O)C(=O)O)O)O)O)O	R09667	C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=C(N)NC3=O)O1)O)O)OP(=O)(O)OP(=O)(O)O.C([C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)O[C@@H]2[C@H]([C@@H]([C@@H](CO)O[C@@H]2O[C@H](COP(=O)(O)O)C(=O)O)O)O)O)O)O)O
OP(=O)(O)O.CSC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CNC3=O)O1)O)O	R09668	C1=NC2=C(N1)N=CNC2=O.CSC[C@@H]1[C@H]([C@H]([C@H](O1)OP(=O)(O)O)O)O
C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)O)O)C(=O)N=C1N.[C@@H]1([C@@H]([C@@H]([C@@H]([C@H]([C@@H]1O)O)OP(=O)(O)O)O)O)O	R09669	OP(=O)(O)OP(=O)(O)O.C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]3[C@H]([C@@H]([C@H]([C@@H]([C@@H]3O)O)O)O)O)O2)O)O)C(=O)N=C1N
