bt	direction	reaction	envipath_url
3673	f	1888	R03234
4224.1	f	1898	R03246
3151	f	1899	R03247
2690.3	f	1901	R03251
2690.2	f	1901	R03251
3673	f	1906	R03261
3568	f	1907	R03264
3501	f	1912	R03269
3673	f	1917	R03278
3673	f	1918	R03279
4150	f	1919	R03281
1196	f	1920	R03283
4013	f	1923	R03288
3673	f	1925	R03290
3673	f	1927	R03292
4215	f	1932	R03299
1196	f	1933	R03300
1196	f	1934	R03302
2884	f	1937	R03306
3673	f	1947	R03325
4141	f	1948	R03330
4141	f	1949	R03331
4141	f	1950	R03333
3673	f	1951	R03337
3673	f	1952	R03339
4141	f	1957	R03346
4141	f	1958	R03347
3938	f	1960	R03349
4141	f	1961	R03350
3673	f	1965	R03357
4215	f	1971	R03369
4141	f	1972	R03371
4141	f	1973	R03372
3673	f	1974	R03373
1196	f	1978	R03381
4300	f	1981	R03385
4300	f	1982	R03386
4141	f	1988	R03393
4141	f	1989	R03394
3673	f	1991	R03396
3673	f	1992	R03397
3673	f	1993	R03398
3673	f	1994	R03399
3211	f	1997	R03404
3673	f	1999	R03406
3673	f	2000	R03407
4141	f	2001	R03409
4013	f	2003	R03421
4141	f	2004	R03427
4141	f	2007	R03430
3673	f	2008	R03431
4141	f	2010	R03434
4013	f	2015	R03448
3151	f	2022	R03461
3393	f	2035	R03494
4141	f	2037	R03496
3673	f	2038	R03497
3673	f	2039	R03498
3211	f	2047	R03517
3211	f	2048	R03518
3673	f	2049	R03520
4141	f	2053	R03531
3673	f	2054	R03534
4141	f	2056	R03537
4141	f	2057	R03538
3674	f	2058	R03539
4292	f	2060	R03542
4224.1	f	2068	R03550
4163	f	2072	R03560
4164	f	2073	R03562
2218	f	2074	R03563
4215	f	2076	R03566
3151	f	2077	R03567
4215	f	2078	R03568
3568	f	2080	R03572
3568	f	2084	R03577
4013	f	2085	R03579
3568	f	2086	R03581
3673	f	2087	R03582
3673	f	2088	R03583
3673	f	2089	R03586
3673	f	2094	R03591
3673	f	2095	R03592
4292	f	2096	R03593
4215	f	2103	R03608
2218	f	2104	R03612
4013	f	2107	R03620
2218	f	2111	R03624
3673	f	2121	R03636
2218	f	2125	R03641
3673	f	2127	R03667
1129	f	2135	R03689
2218	f	2137	R03692
3673	f	2146	R03707
2218	f	2147	R03708
4180	f	2150	R03712
3673	f	2152	R03716
3938	f	2161	R03732
3673	f	2162	R03733
3943	f	2163	R03735
3673	f	2169	R03745
2218	f	2172	R03751
3673	f	2173	R03753
3673	f	2175	R03759
2032	f	2176	R03761
4141	f	2177	R03762
2218	f	2182	R03772
3577	f	2189	R03781
3673	f	2193	R03790
3673	f	2195	R03792
2218	f	2202	R03803
4013	f	2204	R03810
3673	f	2212	R03827
3673	f	2217	R03847
3673	f	2218	R03848
3943	f	2222	R03859
1196	f	2225	R03869
3673	f	2230	R03879
3568	f	2237	R03886
1196	f	2239	R03889
2218	f	2241	R03893
3859	f	2244	R03898
3938	f	2245	R03899
3568	f	2250	R03918
4141	f	2254	R03929
4013	f	2258	R03935
3673	f	2262	R03942
3568	f	2264	R03945
3568	f	2273	R03963
4215	f	2274	R03964
4141	f	2278	R03969
3674	f	2281	R03973
4013	f	2283	R03975
4013	f	2284	R03977
3211	f	2285	R03980
4215	f	2291	R03997
3938	f	2302	R04025
4141	f	2310	R04035
3673	f	2316	R04048
3673	f	2317	R04049
4013	f	2321	R04056
4224.1	f	2324	R04061
1196	f	2325	R04065
4312	f	2331	R04088
3670	f	2331	R04088
2690.1	f	2331	R04088
3667	f	2331	R04088
925	f	2334	R04093
2844	f	2336	R04095
3673	f	2337	R04099
3668	f	2339	R04101
4013	f	2341	R04103
3673	f	2342	R04105
3673	f	2343	R04106
4013	f	2346	R04113
2690.3	f	2347	R04115
2690.2	f	2347	R04115
2218	f	2349	R04119
3657	f	2351	R04130
3859	f	2352	R04131
3859	f	2353	R04132
3093	f	2354	R04133
3501	f	2356	R04135
3568	f	2357	R04136
3673	f	2360	R04139
4292	f	2361	R04140
2218	f	2362	R04141
2690.3	f	2369	R04151
2690.2	f	2369	R04151
4141	f	2377	R04167
3501	f	2381	R04172
4013	f	2383	R04174
3673	f	2386	R04185
3673	f	2387	R04186
3803	f	2391	R04198
3803	f	2392	R04199
3938	f	2393	R04200
3938	f	2394	R04201
2218	f	2395	R04202
3673	f	2396	R04203
3151	f	2401	R04209
3673	f	2402	R04210
3673	f	2417	R04236
1196	f	2422	R04251
3582	f	2423	R04256
4215	f	2424	R04257
4224.1	f	2425	R04258
3673	f	2430	R04265
3673	f	2435	R04278
3673	f	2436	R04279
3673	f	2438	R04285
3568	f	2444	R04304
925	f	2446	R04306
3673	f	2447	R04307
3673	f	2448	R04309
3673	f	2449	R04310
4141	f	2450	R04317
3673	f	2455	R04330
3673	f	2462	R04344
4292	f	2466	R04349
3673	f	2476	R04370
4141	f	2478	R04372
3673	f	2480	R04375
1871.1	f	2483	R04379
3673	f	2486	R04387
3673	f	2495	R04412
1196	f	2496	R04419
3673	f	2501	R04426
3673	f	2507	R04440
4013	f	2526	R04486
4013	f	2527	R04487
3769	f	2528	R04488
2218	f	2529	R04490
1196	f	2532	R04506
3673	f	2538	R04517
3673	f	2539	R04518
899	f	2541	R04522
2218	f	2544	R04525
4141	f	2553	R04549
3673	f	2554	R04552
4300	f	2561	R04570
4013	f	2568	R04587
4141	f	2571	R04594
