auto_transient	compound	isproduct	rclass	reaction	stoichn	stoichn_corr
False	C00002	False	True	R00141	1	1
False	C00014	False	False	R00141	1	1
False	C00008	True	True	R00141	1	1
False	C02306	True	False	R00141	1	1
False	C05167	False	True	R00145	1	1
False	C00001	False	False	R00145	1	1
False	C00003	False	True	R00145	1	1
False	C00161	True	True	R00145	1	1
False	C00014	True	False	R00145	1	1
False	C00004	True	True	R00145	1	1
False	C00080	True	False	R00145	1	1
False	C05167	False	True	R00146	1	1
False	C00001	False	False	R00146	1	1
False	C00006	False	True	R00146	1	1
False	C00161	True	True	R00146	1	1
False	C00014	True	False	R00146	1	1
False	C00005	True	True	R00146	1	1
False	C00080	True	False	R00146	1	1
False	C00014	False	True	R00148	1	1
False	C00007	False	False	R00148	1	1
False	C00390	False	True	R00148	1	1
False	C00192	True	True	R00148	1	1
False	C00001	True	False	R00148	1	1
False	C00399	True	True	R00148	1	1
False	C00002	False	True	R00149	2	2
False	C00014	False	True	R00149	1	1
False	C00011	False	False	R00149	1	1
False	C00001	False	False	R00149	1	1
False	C00008	True	True	R00149	2	2
False	C00009	True	False	R00149	1	1
False	C00169	True	True	R00149	1	1
False	C00002	False	True	R00150	1	1
False	C00014	False	True	R00150	1	1
False	C00288	False	False	R00150	1	1
False	C00008	True	True	R00150	1	1
False	C00169	True	True	R00150	1	1
False	C00001	True	False	R00150	1	1
False	C01326	False	True	R00152	1	1
False	C00001	False	False	R00152	2	2
False	C00014	True	True	R00152	1	1
False	C00058	True	True	R00152	1	1
False	C05361	False	False	R00153	1	1
False	C05359	False	False	R00153	2	2
False	C00080	False	False	R00153	2	2
False	C00014	True	False	R00153	2	2
False	C00015	False	True	R00155	1	1
False	C00001	False	False	R00155	1	1
False	C00105	True	True	R00155	1	1
False	C00009	True	False	R00155	1	1
False	C00002	False	True	R00156	1	1
False	C00015	False	False	R00156	1	1
False	C00008	True	True	R00156	1	1
False	C00075	True	False	R00156	1	1
False	C00075	False	False	R00157	1	1
False	C00020	False	True	R00157	1	1
False	C00015	True	False	R00157	1	1
False	C00008	True	True	R00157	1	1
False	C00002	False	True	R00158	1	1
False	C00105	False	False	R00158	1	1
False	C00008	True	True	R00158	1	1
False	C00015	True	False	R00158	1	1
False	C00075	False	True	R00159	1	1
False	C00001	False	False	R00159	1	1
False	C00015	True	True	R00159	1	1
False	C00009	True	False	R00159	1	1
False	C00016	False	True	R00160	1	1
False	C00001	False	False	R00160	1	1
False	C00020	True	True	R00160	1	1
False	C00061	True	False	R00160	1	1
False	C00002	False	False	R00161	1	1
False	C00061	False	True	R00161	1	1
False	C00013	True	False	R00161	1	1
False	C00016	True	True	R00161	1	1
False	C00562	False	False	R00164	1	1
False	C00001	False	False	R00164	1	1
False	C00017	True	False	R00164	1	1
False	C00009	True	False	R00164	1	1
False	C00018	False	True	R00173	1	1
False	C00001	False	False	R00173	1	1
False	C00250	True	True	R00173	1	1
False	C00009	True	False	R00173	1	1
False	C00002	False	True	R00174	1	1
False	C00250	False	True	R00174	1	1
False	C00008	True	True	R00174	1	1
False	C00018	True	True	R00174	1	1
False	C00019	False	True	R00175	1	1
False	C00001	False	False	R00175	1	1
False	C00170	True	True	R00175	1	1
False	C00263	True	True	R00175	1	1
False	C00009	False	False	R00177	1	1
False	C00013	False	False	R00177	1	1
False	C00019	False	True	R00177	1	1
False	C00002	True	False	R00177	1	1
False	C00073	True	True	R00177	1	1
False	C00001	True	False	R00177	1	1
False	C00019	False	True	R00178	1	1
False	C00080	False	False	R00178	1	1
False	C01137	True	True	R00178	1	1
False	C00011	True	False	R00178	1	1
False	C00019	False	True	R00179	1	1
False	C01234	True	True	R00179	1	1
False	C00170	True	True	R00179	1	1
False	C00019	False	True	R00180	1	1
False	C00170	True	True	R00180	1	1
False	C02926	True	True	R00180	1	1
False	C00020	False	True	R00181	1	1
False	C00001	False	False	R00181	1	1
False	C00130	True	True	R00181	1	1
False	C00014	True	False	R00181	1	1
False	C00020	False	True	R00182	1	1
False	C00001	False	False	R00182	1	1
False	C00147	True	True	R00182	1	1
False	C00117	True	True	R00182	1	1
False	C00020	False	True	R00183	1	1
False	C00001	False	False	R00183	1	1
False	C00212	True	True	R00183	1	1
False	C00009	True	False	R00183	1	1
False	C01260	False	True	R00184	1	1
False	C00001	False	False	R00184	1	1
False	C00002	True	True	R00184	1	1
False	C00020	True	False	R00184	1	1
False	C00002	False	True	R00185	1	1
False	C00212	False	True	R00185	1	1
False	C00008	True	True	R00185	1	1
False	C00020	True	True	R00185	1	1
False	C06197	False	True	R00187	1	1
False	C00001	False	False	R00187	1	1
False	C00008	True	True	R00187	1	1
False	C00020	True	False	R00187	1	1
False	C00054	False	True	R00188	1	1
False	C00001	False	False	R00188	1	1
False	C00020	True	True	R00188	1	1
False	C00009	True	False	R00188	1	1
False	C00020	False	True	R00190	1	1
False	C00013	False	False	R00190	1	1
False	C00147	True	True	R00190	1	1
False	C00119	True	False	R00190	1	1
False	C00575	False	True	R00191	1	1
False	C00001	False	False	R00191	1	1
False	C00020	True	True	R00191	1	1
False	C00021	False	True	R00192	1	1
False	C00001	False	False	R00192	1	1
False	C00212	True	True	R00192	1	1
False	C00155	True	True	R00192	1	1
False	C00021	False	True	R00193	1	1
False	C00001	False	False	R00193	1	1
False	C03431	True	True	R00193	1	1
False	C00014	True	False	R00193	1	1
False	C00021	False	True	R00194	1	1
False	C00001	False	False	R00194	1	1
False	C03539	True	True	R00194	1	1
False	C00147	True	True	R00194	1	1
False	C06393	False	True	R00195	1	1
False	C00001	False	False	R00195	1	1
False	C00022	True	True	R00195	1	1
False	C00014	True	False	R00195	2	2
False	C00186	False	True	R00196	1	1
False	C00125	False	True	R00196	2	2
False	C00022	True	True	R00196	1	1
False	C00126	True	True	R00196	2	2
False	C00080	True	False	R00196	2	2
False	C00256	False	True	R00197	1	1
False	C00125	False	True	R00197	2	2
False	C00022	True	True	R00197	1	1
False	C00126	True	True	R00197	2	2
False	C00080	True	False	R00197	2	2
False	C00256	False	True	R00198	1	1
False	C01070	False	False	R00198	2	2
False	C00022	True	True	R00198	1	1
False	C01071	True	False	R00198	2	2
False	C00080	True	False	R00198	2	2
False	C00002	False	True	R00199	1	1
False	C00022	False	True	R00199	1	1
False	C00001	False	False	R00199	1	1
False	C00020	True	True	R00199	1	1
False	C00074	True	True	R00199	1	1
False	C00009	True	False	R00199	1	1
False	C00002	False	True	R00200	1	1
False	C00022	False	True	R00200	1	1
False	C00008	True	True	R00200	1	1
False	C00074	True	True	R00200	1	1
False	C00546	False	True	R00203	1	1
False	C00003	False	True	R00203	1	1
False	C00001	False	False	R00203	1	1
False	C00022	True	True	R00203	1	1
False	C00004	True	True	R00203	1	1
False	C00080	True	False	R00203	1	1
False	C00546	False	True	R00205	1	1
False	C00006	False	True	R00205	1	1
False	C00001	False	False	R00205	1	1
False	C00022	True	True	R00205	1	1
False	C00005	True	True	R00205	1	1
False	C00080	True	False	R00205	1	1
False	C00002	False	True	R00206	1	1
False	C00022	False	True	R00206	1	1
False	C00009	False	False	R00206	1	1
False	C00020	True	True	R00206	1	1
False	C00074	True	True	R00206	1	1
False	C00013	True	False	R00206	1	1
False	C00022	False	True	R00207	1	1
False	C00009	False	False	R00207	1	1
False	C00007	False	True	R00207	1	1
False	C00227	True	True	R00207	1	1
False	C00027	True	True	R00207	1	1
False	C00011	True	False	R00207	1	1
False	C00074	False	True	R00208	1	1
