bt	direction	reaction	envipath_url
3585	f	431	4bbdad05-0ca8-4d0f-9044-b7bf12f93679
3938	f	432	4bc3b2bf-96e4-4854-b971-3532a2945a78
3858	f	433	4bd67bed-8485-4c8b-b018-22359732528e
3393	f	435	4bef8562-b95f-4bd2-918f-655ec0334014
3929	f	436	4c293561-5c0a-420b-ae0c-05f0fe50273d
3545	f	438	4d7a3210-de37-464c-81e3-1b54cd2694f8
3582	f	440	4de815fa-a627-4fc5-8e3b-e42606a7f318
3745	f	441	4df5d1ed-f34e-433c-a01e-104036321cd7
3858	f	442	4e2a1057-ba58-4657-82a9-329a5db842f6
4224.1	f	452	4ffcb15b-1382-4106-b652-51e1bd007c5a
3456	f	455	500dcaf6-98d5-42c5-b0be-b566a49db2cc
4247	f	456	5023ef01-8d88-4a14-97d6-8ee59ade4a2d
2218	f	457	505ab97f-7123-439a-b3a2-9dbd65a99152
3930	f	460	5092ae5f-a1ef-492e-be10-e5ddda5bf330
3867	f	463	5103b7fb-ca4a-4717-9ecf-92b5e9e45a80
4013	f	467	51bf883a-cbc0-4882-8794-9d22033e0b21
3673	f	469	51d1ae66-5548-4fc2-8cd7-613d637f36b5
2884	f	472	5312350b-0e3e-4d8e-9952-ce7a854942a6
3707	f	474	5355a66b-b0e1-4122-a91a-73eb05c8b917
3854	f	477	537abef0-d633-44f2-9fed-fc8891d085ee
2811	f	478	53a83c08-af96-403e-9f1a-db6fe678c201
3674	f	481	542a1024-d96c-4452-a497-5c3bb65688ff
1196	f	484	54b1e427-9ecb-47ce-a1a1-b5114db62e08
3670	f	485	5503fd4f-5a09-482b-8b41-b84f5c51df0e
2690.1	f	485	5503fd4f-5a09-482b-8b41-b84f5c51df0e
3667	f	485	5503fd4f-5a09-482b-8b41-b84f5c51df0e
3929	f	486	553ad3f0-95ce-480c-9b05-db4b82afba2a
4149	f	488	559ca808-c441-4d8b-84d4-b09e48bdbf97
3854	f	491	55cf2b23-b14a-4702-abb0-bc0130cff8ad
1196	f	492	560a512f-6e72-47f4-b2cf-d236779de39a
2811	f	494	563d90d2-b6dd-44fc-a5f8-e79410748006
4165.2	f	496	568a5a0e-e5b6-44e0-9061-615bd3d06c3c
4081	f	497	5692ef17-e826-45c6-a85c-98458f3aaf65
3674	f	498	569f4805-1873-4cdb-8500-238112456573
3151	f	499	56aae1a6-ceff-462f-8178-61ed7920e60c
2798	f	499	56aae1a6-ceff-462f-8178-61ed7920e60c
2173	f	502	5738dde4-5a97-46bd-9f84-144641afaa67
3469.1	f	503	5751b4c0-92b1-4f6f-b40e-910ef4422dd4
2685	f	503	5751b4c0-92b1-4f6f-b40e-910ef4422dd4
3818	f	506	57a7f840-7767-4308-98c6-12ea8daf2395
4301	f	507	57f5b8fb-fb3d-4270-ab5c-809c7365ffff
3411	f	508	580ae86e-92bf-4438-8dd6-67f4e1811b03
2218	f	511	58740c77-1a67-48a7-8774-e4e8e7942c4e
3938	f	513	58841b9a-9e46-4ef3-b3ef-7e7064432e1d
3670	f	514	58b100f8-22d7-49c2-b089-8145c334a371
2690.1	f	514	58b100f8-22d7-49c2-b089-8145c334a371
3667	f	514	58b100f8-22d7-49c2-b089-8145c334a371
3674	f	515	58b3c4a7-3453-41db-8855-a6608ad15130
3769	f	518	590dceb8-f255-4f72-a9c9-b7fde751d54b
3469.1	f	519	59836b2d-59b9-4058-9c50-f7ee95efc98e
2685	f	519	59836b2d-59b9-4058-9c50-f7ee95efc98e
3673	f	521	59a26fa2-301e-4a3b-926e-546c4db52b5e
3769	f	522	5a17bf24-d9e5-4dd2-9be9-43121912fb08
